"z","x1","x2","x3","w1","w2","w3"
"0.05","0.196","0.732","1.000","0.862","0.10286","0.0348"
"0.10","0.215","0.804","   NA","0.993","0.00733","    NA"
"0.15","0.332","1.000","   NA","0.985","0.01504","    NA"
"0.20","0.467","1.000","   NA","0.951","0.04929","    NA"
"0.25","0.625","1.000","   NA","0.865","0.13542","    NA"
"0.30","0.196","0.732","1.000","0.126","0.68401","0.1902"
"0.35","0.196","0.732","1.000","0.292","0.56804","0.1405"
"0.40","0.196","0.732","1.000","0.389","0.50609","0.1047"
"0.45","0.196","0.732","1.000","0.465","0.46502","0.0701"
"0.50","0.186","0.693","   NA","0.585","0.41505","    NA"
"0.55","0.204","0.762","   NA","0.585","0.41544","    NA"
"0.60","0.223","0.832","   NA","0.585","0.41546","    NA"
"0.65","0.241","0.901","   NA","0.585","0.41546","    NA"
"0.70","0.260","0.970","0.585","0.415","     NA","    NA"
"0.75","0.375","1.000","   NA","0.542","0.45772","    NA"
"0.80","0.533","1.000","   NA","0.513","0.48659","    NA"
"0.85","0.668","1.000","   NA","0.504","0.49627","    NA"
"0.90","0.196","0.732","1.000","0.057","0.48828","0.4548"
"0.95","0.196","0.732","1.000","0.137","0.46855","0.3941"
"1.00","0.196","0.732","1.000","0.189","0.45534","0.3558"
